,District_Name,Index_2014,Index_2019,Index Political Difference,District,Headcount Ratio (NFHS-4),Intensity (NFHS-4),MPI (NFHS-4),Headcount Ratio (NFHS-5),Intensity (NFHS-5),MPI (NFHS-5),MPI Index DIfference,Head Count Index Difference,Intensity (NFHS-4) Difference
0,anantapur,0.5,0.75,0.25,anantapur,0.1247,0.42,0.052,0.0674,0.4056,0.027,-0.024999999999999998,-0.057300000000000004,-0.014399999999999968
1,chittoor,0.5714285714285714,0.7142857142857143,0.1428571428571429,chittoor,0.0964,0.4265,0.041,0.0566,0.392,0.022,-0.019000000000000003,-0.0398,-0.034499999999999975
2,east godavari,0.5789473684210527,0.5789473684210527,0.0,east godavari,0.0851,0.4134,0.035,0.0613,0.4365,0.027,-0.008000000000000004,-0.023799999999999995,0.02310000000000001
3,guntur,0.5294117647058824,0.5294117647058824,0.0,guntur,0.0726,0.4112,0.03,0.0436,0.3758,0.016,-0.013999999999999999,-0.028999999999999998,-0.03539999999999999
4,kadapa,0.55,0.9,0.35,kadapa,0.0914,0.4183,0.038,0.0334,0.3851,0.013,-0.025,-0.057999999999999996,-0.03320000000000001
5,krishna,0.5,0.53125,0.03125,krishna,0.0869,0.4156,0.036,0.0438,0.3822,0.017,-0.018999999999999996,-0.043100000000000006,-0.03340000000000004
6,kurnool,0.35714285714285715,0.75,0.39285714285714285,kurnool,0.1964,0.4587,0.09,0.1284,0.4232,0.054,-0.036,-0.068,-0.035499999999999976
7,nellore,0.45,0.55,0.10000000000000003,nellore,0.1127,0.4379,0.049,0.0541,0.4306,0.023,-0.026000000000000002,-0.05859999999999999,-0.007300000000000029
8,prakasam,0.5,0.5833333333333334,0.08333333333333337,prakasam,0.1384,0.4544,0.063,0.0628,0.436,0.027,-0.036000000000000004,-0.0756,-0.018400000000000027
9,srikakulam,0.65,0.65,0.0,srikakulam,0.1401,0.4156,0.058,0.052,0.4183,0.022,-0.036000000000000004,-0.08810000000000001,0.00269999999999998
10,vishakapatnam,0.43333333333333335,0.7,0.2666666666666666,vishakapatnam,0.151,0.4699,0.071,0.076,0.4081,0.031,-0.039999999999999994,-0.075,-0.061799999999999966
11,vizianagaram,0.3333333333333333,0.7222222222222222,0.3888888888888889,vizianagaram,0.19,0.4242,0.081,0.0866,0.402,0.035,-0.046,-0.1034,-0.022199999999999998
12,west godavari,0.4666666666666667,0.7666666666666667,0.30000000000000004,west godavari,0.0911,0.3979,0.036,0.0242,0.4256,0.01,-0.025999999999999995,-0.0669,0.027700000000000002
